0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,target
2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,0
2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,2,2,2,2,0
2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,0
2,2,2,2,2,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,0
2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,0
2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,1,2,1,2,2,0
2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,1,1,2,2,2,0
2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,0
2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,0
2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,1
3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,1
2,3,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1
2,3,3,3,3,2,2,2,2,2,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,1
2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1
2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,1
2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1
3,3,1,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,1
4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,2,2,3,3,3,3,3,3,3,4,4,4,3,4,2
4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,3,3,3,2,3,3,3,4,4,3,4,4,3,3,3,4,2
4,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,2,3,3,3,4,3,3,3,3,4,4,4,2
4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,3,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,2
3,4,4,4,5,4,4,3,4,3,3,2,3,3,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2
4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,3,4,3,3,3,3,3,2,3,3,3,3,4,4,4,3,4,4,4,2
3,4,3,3,3,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,2,3,3,3,3,4,3,3,4,4,4,4,3,2
4,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,3,2,2,3,3,3,4,4,3,4,3,4,3,3,4,2
4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,2
4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,2
1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3
2,2,1,1,1,1,2,2,1,1,2,2,2,3,3,3,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,3
1,1,2,2,2,1,1,2,2,1,1,2,2,2,3,3,3,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3
1,1,1,1,2,2,1,2,2,1,2,2,2,3,3,3,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,3
2,1,2,1,1,2,2,2,2,1,1,2,2,2,3,3,3,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3
2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3
1,1,1,1,2,1,1,2,1,2,2,2,3,3,3,3,3,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,3
1,1,2,2,2,1,2,2,1,1,1,1,2,3,3,3,3,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,3
1,2,1,1,1,1,2,2,1,2,1,3,2,2,3,2,3,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3
1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4
1,1,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4
1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,4
1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,3,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,4
1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,4
1,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,4
2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,4
2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,4
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,6
2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,6
2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,3,3,3,2,2,2,2,2,2,1,2,6
2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,6
1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,3,2,2,2,1,1,6
2,2,2,1,2,1,3,1,2,1,2,1,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,6
2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,3,2,3,2,3,2,2,2,1,2,6
2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,6
2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,6
2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,3,3,2,3,3,2,2,2,2,6
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,7
1,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,7
2,2,2,3,2,2,2,2,2,2,1,1,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,7
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,1,2,7
2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1,2,2,2,7
2,2,1,3,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,7
2,2,2,2,2,2,2,2,2,1,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,1,2,2,7
1,2,2,3,2,2,2,1,2,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,7
2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,7
3,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,5,4,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,8
3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,2,4,3,3,3,8
2,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,8
3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,5,5,3,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,8
3,3,4,3,3,4,3,3,3,4,3,4,4,3,5,5,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,8
3,4,4,4,3,3,3,4,3,3,5,3,4,4,5,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,8
3,4,4,3,3,4,3,4,4,4,3,4,4,4,4,5,5,4,3,4,4,4,3,2,3,3,3,3,4,4,4,3,3,3,3,3,3,8
3,3,3,3,3,4,3,3,4,3,3,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,3,8
3,3,3,3,4,3,3,4,4,3,5,4,4,5,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,8
2,2,1,1,1,1,2,2,2,1,2,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,2,2,9
2,2,1,2,1,2,1,1,2,1,1,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,2,2,2,3,2,1,1,1,2,1,2,9
1,2,2,1,2,2,2,2,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,1,9
1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,2,2,2,1,2,1,2,1,9
2,1,1,1,2,2,2,1,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,2,1,2,2,9
2,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2,3,3,3,3,2,2,3,2,2,2,2,1,3,2,2,2,1,1,1,2,2,9
1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,1,9
2,2,2,2,2,1,2,1,1,1,1,2,2,2,3,3,3,3,2,2,2,2,2,3,2,3,2,2,2,3,2,3,1,2,1,1,2,9
2,2,2,2,1,1,1,2,1,1,2,1,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,1,2,2,2,2,2,1,2,2,2,9
1,1,2,2,2,1,1,1,1,1,2,1,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,9
